,STOCK,CODE
387,Aym Syntex Ltd,BOM508933
388,Ayoki Mercantile Ltd.,BOM512063
389,Azure Exim Services Ltd.,BOM531783
390,B & A Ltd.,BOM508136
391,B&a Packaging India Limited,BOM523186
392,B&b Realty Limited,BOM506971
393,B. P. Capital Ltd,BOM536965
394,B.a.g.films & Media Ltd.,BOM532507
395,B.c. Power Controls Ltd,BOM537766
396,B.l.kashyap And Sons Ltd.,BOM532719
397,B.n.rathi Securities Ltd.,BOM523019
398,B.nanji Enterprises Ltd.,BOM526594
399,B2b Software Technologies Ltd.,BOM531268
400,BSE 100,BSE100
401,BSE 200,BSE200
402,BSE 500 Shariah,SPBSE5S
403,BSE 500,BSE500
404,BSE AUTO,SI1900
405,BSE AllCap,SPBSAIP
406,BSE BANKEX,SIBANK
407,BSE Basic Materials,SPBSBMIP
408,BSE CAPITAL GOODS,SI0200
409,BSE CARBONEX,CARBON
410,BSE CONSUMER DURABLES,SI0400
411,BSE CPSE,CPSE
412,BSE Consumer Discretionary Goods and Services,SPBSCDIP
413,BSE DOLLEX 100,DOL100
414,BSE DOLLEX 200,DOLLEX
415,BSE DOLLEX 30,DOLL30
416,BSE Dividend Stability Index,SPBSDSIP
417,BSE Energy,SPBSENIP
418,BSE Enhanced Value Index,SPBSEVIP
419,BSE Fast Moving Consumer Goods,SI0600
420,BSE Finance,SPBSFIIP
421,BSE GREENEX,GREENX
422,BSE Healthcare,SI0800
423,BSE IPO,IPO
424,BSE India 10 Year Sovereign Bond,SPBDISBT
425,BSE India Infrastructure Index,INFRA
426,BSE India Manufacturing Index,SPBIMIP
427,BSE Industrials,SPBSIDIP
428,BSE Information Technology,SI1000
429,BSE LargeCap,SPBSLIP
430,BSE LargeMidCap,SPBSLMIP
431,BSE Low Volatility Index,SPBSLVIP
432,BSE METAL,SI1200
433,BSE MidCap Select Index,SPBMDSIP
434,BSE MidCap,BSEMID
435,BSE MidSmallCap,SPBSMSIP
436,BSE Momentum Index,SPBSMOIP
